analysis_date,company_name,company_url,pitchbook_profile_url,latest_round_date,latest_round_type,latest_round_amount_usd_m,latest_priced_round_date,latest_priced_round_type,latest_priced_round_amount_usd_m,valuation_disclosed,valuation_estimate_low_usd_m,valuation_estimate_high_usd_m,founder_tier,founder_background_summary,data_confidence,notes
2026-02-19,Nirmata (Kyverno),https://nirmata.com/kyverno-oss/,https://my.pitchbook.com/profile/234178-30/company/profile,2025-09-25,Incubator/Accelerator,Undisclosed,2025-02-10,Series A,9.6,No,70,130,Tier 2,"Co-founders are enterprise infra veterans; CEO Jim Bugwadia has prior large-scale systems leadership experience (including Cisco and Motorola).",Medium,"Latest event is an incubator/accelerator entry; latest priced round is Series A."
2026-02-19,Sidero Labs (Talos Linux),https://www.siderolabs.com/,https://my.pitchbook.com/profile/433029-97/company/profile,2024-10-23,Series A,4.0,2024-10-23,Series A,4.0,No,30,70,Tier 1-2,"Founded by Steve Francis (LogicMonitor founder), indicating repeat-founder and infrastructure operating depth.",High,"Round amount/date visible in public sources."
2026-02-19,ZITADEL,https://zitadel.com/,https://my.pitchbook.com/profile/497962-18/company,2024-11-20,Series A,9.0,2024-11-20,Series A,9.0,No,60,120,Tier 2,"Developer-first open-source IAM founding team led by Florian Forster with strong identity-domain specialization.",High,"Public press release and financial aggregators align on round."
2026-02-19,Terramate,https://terramate.io/,https://my.pitchbook.com/profile/512411-05/company/profile,2023-05-15,Seed VC,2.0,2023-05-15,Seed VC,2.0,No,15,30,Tier 3,"Technical open-source founders with early-stage execution signal; limited public prior-exit pedigree.",Medium,"Data is older and publicly sparse beyond seed."
2026-02-19,Civo,https://www.civo.com/,https://my.pitchbook.com/profile/470785-42/company/profile,2021-09-17,Corporate Minority,1.93,2021-09-17,Corporate Minority,1.93,No,30,80,Tier 2,"Founded by repeat infrastructure entrepreneur Mark Boost and team with hosting/cloud operating background.",Medium,"Latest visible financing appears dated."
2026-02-19,Portainer,https://www.portainer.io/,https://my.pitchbook.com/profile/438265-99/company/profile,2021-05-04,Series A,6.0,2021-05-04,Series A,6.0,No,60,140,Tier 2,"Founding team (Neil Cresswell, Anthony Lapenna) is deeply focused on container operations and platform usability.",High,"Round amount/date consistently reported."
2026-02-19,Patchstack,https://www.patchstack.com/,https://my.pitchbook.com/profile/169919-20/company/profile,2024-09-16,Series A,5.0,2024-09-16,Series A,5.0,No,40,100,Tier 2,"Founder Oliver Sild has practitioner security background in CMS/plugin vulnerability management.",High,"Series A amount/date publicly available."
2026-02-19,Traefik Labs,https://www.traefik.io/,https://my.pitchbook.com/profile/170890-75/company,2020-01-13,Series A,10.0,2020-01-13,Series A,10.0,No,70,150,Tier 2,"Founded by Emile Vauge with strong open-source and DevOps product-builder pedigree.",High,"Funding is older but round details are clear."
2026-02-19,Qovery,https://www.qovery.com/,https://my.pitchbook.com/profile/398937-25/company,2025-09-30,Series A,12.89,2025-09-30,Series A,12.89,No,90,180,Tier 2,"Founding team led by Romaric Philogene with production infrastructure and backend systems depth.",High,"Public sources converge on a 2025 Series A."
2026-02-19,Acsense,https://www.acsense.com/,https://my.pitchbook.com/profile/469181-80/company,2024-01-01,Seed VC - II,Undisclosed,2024-01-01,Seed VC - II,Undisclosed,No,25,60,Tier 2,"Team profile includes former EMC veterans with IAM and enterprise security implementation experience.",Medium,"Latest round amount not publicly disclosed."
