Project,GitHub Repo,Stars,Forks,Latest main-branch commit (UTC),Contributor diversity
Nirmata (Kyverno),kyverno/kyverno,7409,1236,2026-02-19T08:57:32Z,Significant external contributors
Victoria Metrics,VictoriaMetrics/VictoriaMetrics,16339,1572,2026-02-18T20:45:28Z,Mostly parent-company/core team
erxes,erxes/erxes,3900,1229,2026-02-16T14:57:36Z,Significant external contributors
OpsMill (Infrahub),opsmill/infrahub,423,43,2026-02-18T19:18:08Z,Significant external contributors
"LINBIT (Linforge, DRBD)",LINBIT/linstor-server,1196,91,2026-02-13T10:39:01Z,Mixed (core + external)
Talos Linux (Sidero Labs),siderolabs/talos,9898,783,2026-02-18T14:47:23Z,Mixed (core + external)
Turso,tursodatabase/libsql,16381,464,2025-12-26T07:01:19Z,Significant external contributors; multi-company signals
Zitadel,zitadel/zitadel,13006,943,2026-02-19T09:28:48Z,Significant external contributors
Terramate,terramate-io/terramate,3527,113,2026-02-17T14:05:41Z,Mostly parent-company/core team; multi-company signals
Baserow,bram2w/baserow,4177,516,2026-02-18T23:32:53Z,Mixed (core + external); multi-company signals
Frappe (ERPNext),frappe/erpnext,31819,10476,2026-02-19T08:31:39Z,Significant external contributors; multi-company signals
NextCloud,nextcloud/server,34125,4725,2026-02-19T08:17:45Z,Significant external contributors; multi-company signals
Karate Labs,karatelabs/karate,8787,2013,2025-12-05T11:12:19Z,Mostly parent-company/core team; multi-company signals
Meticulous,meticulous/state-decoded-ui-2012,6,0,2013-09-09T22:08:21Z,Mostly parent-company/core team
Weld,weld/weld-testing,112,33,2026-02-01T04:22:29Z,"Mixed (core + external); notable: IBM, Red Hat, Inc.)"
ThingsBoard,thingsboard/thingsboard,21145,6138,2026-02-17T13:25:28Z,Significant external contributors
Civo,civo/civo,0,1,2020-09-28T10:48:34Z,Mostly parent-company/core team
Red5,Red5/red5-server,3425,1012,2026-02-18T17:25:51Z,Mostly parent-company/core team
Portainer.io,portainer/portainer,36597,2775,2026-02-17T08:38:18Z,Significant external contributors; multi-company signals
Shipyard,shipyard/shipyard-cli,9,4,2025-10-16T13:22:47Z,Mostly parent-company/core team; multi-company signals
Sagetap,Sagetap/sagetap-backend-test,0,0,2023-06-01T18:51:51Z,Mostly parent-company/core team
Patchstack,patchstack/wpcli-patchstack,17,6,2022-03-20T14:54:04Z,Mostly parent-company/core team
Giant Swarm,giantswarm/happa,22,4,2026-02-11T15:44:20Z,Significant external contributors; multi-company signals
Middleware,middlewarehq/middleware,1544,159,2026-01-14T12:41:34Z,Significant external contributors; multi-company signals
Daytona,daytonaio/daytona,58392,5038,2026-02-18T11:21:17Z,Mixed (core + external)
Directus,directus/directus,34247,4569,2026-02-18T19:16:05Z,Mostly parent-company/core team
Gatling,gatling/gatling,6864,1213,2026-02-17T13:02:27Z,Mostly parent-company/core team; notable: DataDog)
OpenReplay,openreplay/openreplay,11741,686,2026-02-19T08:57:02Z,Significant external contributors; multi-company signals
Reflex (Pynecone),reflex-dev/reflex,28128,1690,2026-02-13T21:15:13Z,Significant external contributors; multi-company signals
Facets.Cloud,Facets-cloud/facets.cloud,3,0,2024-04-30T13:02:45Z,Mostly parent-company/core team
Countly,Countly/countly-server,5825,982,2026-02-17T13:23:28Z,Mixed (core + external)
SigNoz,SigNoz/signoz,25790,1967,2026-02-19T08:20:41Z,Significant external contributors
Mavvrik,Mavvrikk/mavvrikk.github.io,0,0,2024-09-13T13:50:47Z,Mostly parent-company/core team
Elba,elba/idris-elba-interface,2,0,2019-04-19T14:31:33Z,Mostly parent-company/core team
ComplianceCow,ComplianceCow/compliancecow-data-library,2,4,2022-11-08T06:19:45Z,Mostly parent-company/core team
Traefik Labs (Containous),traefik/traefik,61758,5834,2026-02-17T11:30:07Z,Significant external contributors; multi-company signals
Qovery,Qovery/engine,2429,81,2026-02-18T15:23:07Z,Significant external contributors
Acsense,N/A,N/A,N/A,N/A,No clear OSS repo identified
SST (Anomaly),sst/sst,25501,2023,2026-02-19T09:14:15Z,Mixed (core + external); multi-company signals
Xygeni,xygeni/xygeni,0,0,2026-02-13T13:05:33Z,Mostly parent-company/core team
Novu,novuhq/novu,38590,4216,2026-02-17T06:05:12Z,Significant external contributors; multi-company signals
Crafting,N/A,N/A,N/A,N/A,No clear OSS repo identified
Nullplatform,nullplatform/terraform-provider-nullplatform,2,3,2026-02-09T20:18:19Z,Mixed (core + external)
Trino (PrestoSQL),trinodb/trino,12569,3491,2026-02-19T05:43:29Z,Significant external contributors; multi-company signals
Semaphore,semaphoreio/semaphore,1462,74,2026-02-18T13:22:15Z,Significant external contributors; multi-company signals
dltHub,dlt-hub/dlt,4928,452,2026-02-18T16:51:20Z,Mixed (core + external)
Cycloid,cycloidio/cycloid-cli,17,1,2026-02-05T20:54:21Z,Mixed (core + external); multi-company signals
OpenObserve,openobserve/openobserve,17931,733,2026-02-19T08:34:33Z,Significant external contributors
Akto,akto-api-security/akto,1448,273,2026-02-19T09:21:04Z,Significant external contributors; multi-company signals
Tilores,tilotech/python-tilores-sdk,3,0,2024-11-21T12:43:58Z,Mostly parent-company/core team
